session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
56,99288.0,0.0,0.0,0,0,0.0,0.0,10.013567997044884,0.9999073658241854,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16683.0,""cash"":-583377.0,""position"":60,""slope_per_step"":1.706760909909609,""r_squared"":0.9977050802505847},""INTARIAN_PEPPER_ROOT"":{""pnl"":82605.0,""cash"":-1037387.0,""position"":80,""slope_per_step"":8.306807087135276,""r_squared"":0.9999913815636617}}"
57,101412.29999999993,0.0,0.0,0,0,0.0,0.0,10.186301141359001,0.9999237733884545,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18364.0,""cash"":-21640.0,""position"":4,""slope_per_step"":1.826011100390111,""r_squared"":0.9979075153997703},""INTARIAN_PEPPER_ROOT"":{""pnl"":83048.29999999993,""cash"":-840944.0,""position"":77,""slope_per_step"":8.360290040968895,""r_squared"":0.9999870700746969}}"
58,98922.29999999993,0.0,0.0,0,0,0.0,0.0,9.992358906085984,0.9999340096541136,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":15910.0,""cash"":-624154.0,""position"":64,""slope_per_step"":1.6106371578023715,""r_squared"":0.9979040307824109},""INTARIAN_PEPPER_ROOT"":{""pnl"":83012.29999999993,""cash"":-917980.0,""position"":77,""slope_per_step"":8.381721748283628,""r_squared"":0.9999679843611002}}"
59,98721.59999999998,0.0,0.0,0,0,0.0,0.0,9.954868937912703,0.9999625688040443,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82028.59999999998,""cash"":-953964.0,""position"":74,""slope_per_step"":8.276312250197137,""r_squared"":0.9999735193346824},""ASH_COATED_OSMIUM"":{""pnl"":16693.0,""cash"":-703379.0,""position"":72,""slope_per_step"":1.6785566877155669,""r_squared"":0.9989381472554314}}"
60,100734.09999999998,0.0,0.0,0,0,0.0,0.0,10.189617833222988,0.9998356957733936,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18592.0,""cash"":-31413.0,""position"":5,""slope_per_step"":1.9322699187986991,""r_squared"":0.997424927732106},""INTARIAN_PEPPER_ROOT"":{""pnl"":82142.09999999998,""cash"":-865850.0,""position"":79,""slope_per_step"":8.257347914424289,""r_squared"":0.999976553271076}}"
61,97295.19999999995,0.0,0.0,0,0,0.0,0.0,9.743475477901336,0.9997582661663328,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":14848.0,""cash"":-785232.0,""position"":80,""slope_per_step"":1.4254969157509692,""r_squared"":0.9923097583879829},""INTARIAN_PEPPER_ROOT"":{""pnl"":82447.19999999995,""cash"":-931545.0,""position"":78,""slope_per_step"":8.317978562150367,""r_squared"":0.9999623496519763}}"
62,100329.5,0.0,0.0,0,0,0.0,0.0,10.052577210113977,0.999953407788629,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82672.5,""cash"":-967320.0,""position"":75,""slope_per_step"":8.312340843843613,""r_squared"":0.9999531938907411},""ASH_COATED_OSMIUM"":{""pnl"":17657.0,""cash"":-652410.0,""position"":67,""slope_per_step"":1.7402363662703637,""r_squared"":0.9978703382388068}}"
63,101486.69999999995,0.0,0.0,0,0,0.0,0.0,10.211747372275088,0.999967625654619,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18300.0,""cash"":-781780.0,""position"":80,""slope_per_step"":1.8285474738994747,""r_squared"":0.9992623235111161},""INTARIAN_PEPPER_ROOT"":{""pnl"":83186.69999999995,""cash"":-792806.0,""position"":73,""slope_per_step"":8.383199898375599,""r_squared"":0.9999748097878394}}"
64,98588.0,0.0,0.0,0,0,0.0,0.0,9.819032028173124,0.9998332283399647,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16081.0,""cash"":-393960.0,""position"":41,""slope_per_step"":1.528425613850256,""r_squared"":0.9949760914680909},""INTARIAN_PEPPER_ROOT"":{""pnl"":82507.0,""cash"":-957485.0,""position"":80,""slope_per_step"":8.290606414322864,""r_squared"":0.9999838369409997}}"
65,99138.09999999986,0.0,0.0,0,0,0.0,0.0,9.993828399170875,0.9998399154667235,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82773.09999999986,""cash"":-1023219.0,""position"":79,""slope_per_step"":8.357976028518351,""r_squared"":0.9999853328855023},""ASH_COATED_OSMIUM"":{""pnl"":16365.0,""cash"":-783715.0,""position"":80,""slope_per_step"":1.6358523706525236,""r_squared"":0.9929403338481123}}"
