session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
27,-1,100660.29999999993,0.0,0.0,10.147959739310192,0.9999228570984605,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17829.0,""cash"":-782251.0,""position"":80,""slope_per_step"":1.828182393845824,""r_squared"":0.9978625968501337},""INTARIAN_PEPPER_ROOT"":{""pnl"":82831.29999999993,""cash"":-841161.0,""position"":77,""slope_per_step"":8.31977734546436,""r_squared"":0.9999741899755632}}"
28,0,100765.29999999993,0.0,0.0,10.168304417910429,0.9999659968811558,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18235.0,""cash"":-781845.0,""position"":80,""slope_per_step"":1.852976197027762,""r_squared"":0.9995196856468346},""INTARIAN_PEPPER_ROOT"":{""pnl"":82530.29999999993,""cash"":-918462.0,""position"":77,""slope_per_step"":8.315328220882677,""r_squared"":0.9999796052424117}}"
29,1,99132.5,0.0,0.0,9.986974118684717,0.9997970224643856,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16336.0,""cash"":-453711.0,""position"":47,""slope_per_step"":1.6474453726604537,""r_squared"":0.9960726652896315},""INTARIAN_PEPPER_ROOT"":{""pnl"":82796.5,""cash"":-967196.0,""position"":75,""slope_per_step"":8.339528746024273,""r_squared"":0.9999456746897173}}"
30,-1,97979.0,0.0,0.0,9.88801752801197,0.9999488752262156,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82182.0,""cash"":-877810.0,""position"":80,""slope_per_step"":8.270248642374272,""r_squared"":0.9999756089448609},""ASH_COATED_OSMIUM"":{""pnl"":15797.0,""cash"":-644269.0,""position"":66,""slope_per_step"":1.6177688856376888,""r_squared"":0.9976479118019712}}"
31,0,99505.69999999995,0.0,0.0,9.916052714684717,0.9999111934537297,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17091.0,""cash"":-292940.0,""position"":31,""slope_per_step"":1.5911270750632707,""r_squared"":0.9950573015802986},""INTARIAN_PEPPER_ROOT"":{""pnl"":82414.69999999995,""cash"":-866578.0,""position"":73,""slope_per_step"":8.324925639621446,""r_squared"":0.9999611494409014}}"
32,1,100142.5,0.0,0.0,10.154743775303253,0.9999455619507317,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17269.0,""cash"":-762809.0,""position"":78,""slope_per_step"":1.761792206029922,""r_squared"":0.9991232182053297},""INTARIAN_PEPPER_ROOT"":{""pnl"":82873.5,""cash"":-967119.0,""position"":75,""slope_per_step"":8.39295156927333,""r_squared"":0.9999776943024585}}"
33,-1,98768.0,0.0,0.0,9.936734735428939,0.999956888270724,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16678.0,""cash"":-703394.0,""position"":72,""slope_per_step"":1.6404381410223814,""r_squared"":0.9990037821637909},""INTARIAN_PEPPER_ROOT"":{""pnl"":82090.0,""cash"":-877902.0,""position"":80,""slope_per_step"":8.296296594406556,""r_squared"":0.9999660748522695}}"
34,0,98794.0,0.0,0.0,9.938037635238587,0.999919395847205,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16088.0,""cash"":-483962.0,""position"":50,""slope_per_step"":1.5757253720532538,""r_squared"":0.9951122019622951},""INTARIAN_PEPPER_ROOT"":{""pnl"":82706.0,""cash"":-957286.0,""position"":80,""slope_per_step"":8.362312263185327,""r_squared"":0.9999711287062718}}"
35,1,99628.0,0.0,0.0,9.970867348606859,0.9999216508840335,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82737.0,""cash"":-1037255.0,""position"":80,""slope_per_step"":8.306512213727302,""r_squared"":0.9999776776234223},""ASH_COATED_OSMIUM"":{""pnl"":16891.0,""cash"":-173128.0,""position"":19,""slope_per_step"":1.6643551348795513,""r_squared"":0.9980785293257399}}"
36,-1,101543.0,0.0,0.0,10.168744648963246,0.9998848881702599,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82869.0,""cash"":-877123.0,""position"":80,""slope_per_step"":8.351610586551907,""r_squared"":0.9999874364659651},""ASH_COATED_OSMIUM"":{""pnl"":18674.0,""cash"":-91337.0,""position"":11,""slope_per_step"":1.8171340624113406,""r_squared"":0.9954254137175389}}"
37,0,99604.79999999993,0.0,0.0,10.0183304951863,0.999872110884369,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16802.0,""cash"":-643264.0,""position"":66,""slope_per_step"":1.6790412895284128,""r_squared"":0.994823025099483},""INTARIAN_PEPPER_ROOT"":{""pnl"":82802.79999999993,""cash"":-853190.0,""position"":72,""slope_per_step"":8.339289205657902,""r_squared"":0.9999869660093232}}"
