session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
21,99832.0,0.0,0.0,0,0,0.0,0.0,10.010610630396926,0.9999030094046719,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82124.0,""cash"":-877868.0,""position"":80,""slope_per_step"":8.284609582166905,""r_squared"":0.9999811310642203},""ASH_COATED_OSMIUM"":{""pnl"":17708.0,""cash"":-42298.0,""position"":6,""slope_per_step"":1.7260010482300105,""r_squared"":0.9970694547360491}}"
22,98906.0,0.0,0.0,0,0,0.0,0.0,9.955391110204902,0.9999679898635581,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82120.0,""cash"":-957872.0,""position"":80,""slope_per_step"":8.261259294235588,""r_squared"":0.9999808359422702},""ASH_COATED_OSMIUM"":{""pnl"":16786.0,""cash"":-733289.0,""position"":75,""slope_per_step"":1.6941318159693182,""r_squared"":0.9990164980208751}}"
23,98520.30000000005,0.0,0.0,0,0,0.0,0.0,9.859748301534683,0.9999107679677091,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16785.0,""cash"":-273244.0,""position"":29,""slope_per_step"":1.5842535415225354,""r_squared"":0.9945298101504865},""INTARIAN_PEPPER_ROOT"":{""pnl"":81735.30000000005,""cash"":-996257.0,""position"":77,""slope_per_step"":8.275494760012148,""r_squared"":0.9999596947713043}}"
24,100111.0,0.0,0.0,0,0,0.0,0.0,10.10986942575888,0.9999151520616733,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82666.0,""cash"":-877326.0,""position"":80,""slope_per_step"":8.342130948469485,""r_squared"":0.9999793691224853},""ASH_COATED_OSMIUM"":{""pnl"":17445.0,""cash"":-772634.0,""position"":79,""slope_per_step"":1.7677384772893847,""r_squared"":0.9978441316497352}}"
25,102558.09999999998,0.0,0.0,0,0,0.0,0.0,10.372711490385287,0.9999451329700119,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":19631.0,""cash"":-780449.0,""position"":80,""slope_per_step"":1.9860614518146145,""r_squared"":0.999188212571964},""INTARIAN_PEPPER_ROOT"":{""pnl"":82927.09999999998,""cash"":-944065.0,""position"":79,""slope_per_step"":8.386650038570691,""r_squared"":0.9999574025170802}}"
26,99010.0,0.0,0.0,0,0,0.0,0.0,9.897592921496324,0.9998830631173276,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16206.0,""cash"":-573853.0,""position"":59,""slope_per_step"":1.5421359354073594,""r_squared"":0.9952005086141386},""INTARIAN_PEPPER_ROOT"":{""pnl"":82804.0,""cash"":-897189.0,""position"":70,""slope_per_step"":8.35545698608896,""r_squared"":0.9999822148550533}}"
27,100973.29999999993,0.0,0.0,0,0,0.0,0.0,10.184264102687832,0.9999285038862008,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82993.29999999993,""cash"":-840999.0,""position"":77,""slope_per_step"":8.332457882379764,""r_squared"":0.9999783194961209},""ASH_COATED_OSMIUM"":{""pnl"":17980.0,""cash"":-782100.0,""position"":80,""slope_per_step"":1.8518062203080623,""r_squared"":0.9980370117844595}}"
28,100642.29999999993,0.0,0.0,0,0,0.0,0.0,10.169909222076882,0.9999639320021979,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82606.29999999993,""cash"":-918386.0,""position"":77,""slope_per_step"":8.327904339420849,""r_squared"":0.9999800242424628},""ASH_COATED_OSMIUM"":{""pnl"":18036.0,""cash"":-782044.0,""position"":80,""slope_per_step"":1.842004882656049,""r_squared"":0.9994949140810963}}"
29,99160.19999999995,0.0,0.0,0,0,0.0,0.0,9.980375872491972,0.9997711095907796,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16247.0,""cash"":-453800.0,""position"":47,""slope_per_step"":1.6353099236850992,""r_squared"":0.9955621266317},""INTARIAN_PEPPER_ROOT"":{""pnl"":82913.19999999995,""cash"":-869080.0,""position"":68,""slope_per_step"":8.345065948806873,""r_squared"":0.9999464261595429}}"
30,98122.0,0.0,0.0,0,0,0.0,0.0,9.883353523072525,0.9999651833983544,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82280.0,""cash"":-877712.0,""position"":80,""slope_per_step"":8.263513915242125,""r_squared"":0.9999653837111161},""ASH_COATED_OSMIUM"":{""pnl"":15842.0,""cash"":-644224.0,""position"":66,""slope_per_step"":1.619839607830396,""r_squared"":0.9976975278541063}}"
31,99717.5,0.0,0.0,0,0,0.0,0.0,9.941230513066914,0.9999166418778597,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82788.5,""cash"":-762205.0,""position"":65,""slope_per_step"":8.359514287023748,""r_squared"":0.999961717999649},""ASH_COATED_OSMIUM"":{""pnl"":16929.0,""cash"":-293102.0,""position"":31,""slope_per_step"":1.5817162260431623,""r_squared"":0.9958787621114966}}"
32,99855.5,0.0,0.0,0,0,0.0,0.0,10.127572474190345,0.9999434134392051,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17157.0,""cash"":-762921.0,""position"":78,""slope_per_step"":1.7502302359563024,""r_squared"":0.999189089398355},""INTARIAN_PEPPER_ROOT"":{""pnl"":82698.5,""cash"":-967294.0,""position"":75,""slope_per_step"":8.377342238234041,""r_squared"":0.9999745745742127}}"
33,98601.0,0.0,0.0,0,0,0.0,0.0,9.908204619172642,0.9999561915458103,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16346.0,""cash"":-703726.0,""position"":72,""slope_per_step"":1.5998637403286373,""r_squared"":0.999118940455873},""INTARIAN_PEPPER_ROOT"":{""pnl"":82255.0,""cash"":-877737.0,""position"":80,""slope_per_step"":8.308340878844,""r_squared"":0.999959742105049}}"
34,98819.0,0.0,0.0,0,0,0.0,0.0,9.945237793369177,0.9999380407087033,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16072.0,""cash"":-483978.0,""position"":50,""slope_per_step"":1.5734354818343548,""r_squared"":0.9950440737387258},""INTARIAN_PEPPER_ROOT"":{""pnl"":82747.0,""cash"":-957245.0,""position"":80,""slope_per_step"":8.371802311534823,""r_squared"":0.9999531815058861}}"
35,99795.0,0.0,0.0,0,0,0.0,0.0,10.00012038071619,0.9999446793987662,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16864.0,""cash"":-263164.0,""position"":28,""slope_per_step"":1.6626235312802353,""r_squared"":0.998071500724524},""INTARIAN_PEPPER_ROOT"":{""pnl"":82931.0,""cash"":-1037061.0,""position"":80,""slope_per_step"":8.337496849435945,""r_squared"":0.9999783824988115}}"
36,101247.0,0.0,0.0,0,0,0.0,0.0,10.133431817022919,0.9999154049601343,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82573.0,""cash"":-877419.0,""position"":80,""slope_per_step"":8.316297754611577,""r_squared"":0.9999701493393289},""ASH_COATED_OSMIUM"":{""pnl"":18674.0,""cash"":-91337.0,""position"":11,""slope_per_step"":1.8171340624113406,""r_squared"":0.9954254137175389}}"
37,99529.79999999993,0.0,0.0,0,0,0.0,0.0,10.011175125828547,0.9998772787782061,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16662.0,""cash"":-643404.0,""position"":66,""slope_per_step"":1.660568298969683,""r_squared"":0.9950197931765501},""INTARIAN_PEPPER_ROOT"":{""pnl"":82867.79999999993,""cash"":-853125.0,""position"":72,""slope_per_step"":8.350606826858874,""r_squared"":0.9999854316656217}}"
38,98956.0,0.0,0.0,0,0,0.0,0.0,9.961469767163083,0.9999530295911778,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82033.0,""cash"":-1037959.0,""position"":80,""slope_per_step"":8.247776032360155,""r_squared"":0.9999670436243956},""ASH_COATED_OSMIUM"":{""pnl"":16923.0,""cash"":-783157.0,""position"":80,""slope_per_step"":1.7136937348029373,""r_squared"":0.9993165239557683}}"
39,100148.0,0.0,0.0,0,0,0.0,0.0,10.074186477998465,0.9999272873768638,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17402.0,""cash"":-252625.0,""position"":27,""slope_per_step"":1.7684479708284797,""r_squared"":0.9986946521943538},""INTARIAN_PEPPER_ROOT"":{""pnl"":82746.0,""cash"":-877246.0,""position"":80,""slope_per_step"":8.30573850716997,""r_squared"":0.9999676482363327}}"
