session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
50,1,101281.90000000002,0.0,0.0,10.208554806241544,0.9999448746661534,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18156.0,""cash"":-21848.0,""position"":4,""slope_per_step"":1.835818101160181,""r_squared"":0.9992769509104412},""INTARIAN_PEPPER_ROOT"":{""pnl"":83125.90000000002,""cash"":-910867.0,""position"":71,""slope_per_step"":8.372736705081357,""r_squared"":0.9999721032751892}}"
51,-1,98636.0,0.0,0.0,9.940326368394064,0.9999615351325457,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83281.0,""cash"":-876711.0,""position"":80,""slope_per_step"":8.428078660155567,""r_squared"":0.999965501318697},""ASH_COATED_OSMIUM"":{""pnl"":15355.0,""cash"":-624709.0,""position"":64,""slope_per_step"":1.512247708238477,""r_squared"":0.996569880657925}}"
52,0,99511.0,0.0,0.0,9.921773153486328,0.999886340032173,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17357.0,""cash"":317387.0,""position"":-30,""slope_per_step"":1.6557589385915894,""r_squared"":0.9965889039585238},""INTARIAN_PEPPER_ROOT"":{""pnl"":82154.0,""cash"":-957838.0,""position"":80,""slope_per_step"":8.266014214894748,""r_squared"":0.9999872053691593}}"
53,1,99494.30000000005,0.0,0.0,9.952538563612562,0.9998548037908921,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16969.0,""cash"":-763109.0,""position"":78,""slope_per_step"":1.673853417214534,""r_squared"":0.9963534266222537},""INTARIAN_PEPPER_ROOT"":{""pnl"":82525.30000000005,""cash"":-995467.0,""position"":77,""slope_per_step"":8.278685146398033,""r_squared"":0.999981464691911}}"
54,-1,99398.0,0.0,0.0,9.942255159863556,0.9999150155969165,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82695.0,""cash"":-877297.0,""position"":80,""slope_per_step"":8.356179130454786,""r_squared"":0.9999501543720751},""ASH_COATED_OSMIUM"":{""pnl"":16703.0,""cash"":-213320.0,""position"":23,""slope_per_step"":1.5860760294087604,""r_squared"":0.9969432774256408}}"
55,0,100370.0,0.0,0.0,10.175557539746766,0.9999586965609861,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17492.0,""cash"":-682578.0,""position"":70,""slope_per_step"":1.8001364894953649,""r_squared"":0.9986044232121346},""INTARIAN_PEPPER_ROOT"":{""pnl"":82878.0,""cash"":-957114.0,""position"":80,""slope_per_step"":8.375421050251406,""r_squared"":0.9999815704934578}}"
56,1,99285.0,0.0,0.0,9.880217890292593,0.999843338672326,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82674.0,""cash"":-1037318.0,""position"":80,""slope_per_step"":8.300161898868028,""r_squared"":0.9999731872390198},""ASH_COATED_OSMIUM"":{""pnl"":16611.0,""cash"":-683459.0,""position"":70,""slope_per_step"":1.58005599142456,""r_squared"":0.9964337501647668}}"
57,-1,101659.0,0.0,0.0,10.172856123609376,0.9999460893480211,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18855.0,""cash"":-591206.0,""position"":61,""slope_per_step"":1.8623798653257986,""r_squared"":0.9975875012736589},""INTARIAN_PEPPER_ROOT"":{""pnl"":82804.0,""cash"":-877188.0,""position"":80,""slope_per_step"":8.310476258283572,""r_squared"":0.9999720734297834}}"
58,0,100005.19999999995,0.0,0.0,10.082766703824673,0.9999338095445583,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82177.19999999995,""cash"":-931815.0,""position"":78,""slope_per_step"":8.254663643035636,""r_squared"":0.999914776110716},""ASH_COATED_OSMIUM"":{""pnl"":17828.0,""cash"":-362210.0,""position"":38,""slope_per_step"":1.8281030607890305,""r_squared"":0.9976010408148088}}"
59,1,102128.30000000005,0.0,0.0,10.363222973563435,0.9999186584259809,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83892.30000000005,""cash"":-994100.0,""position"":77,""slope_per_step"":8.40830306647824,""r_squared"":0.9999493215856421},""ASH_COATED_OSMIUM"":{""pnl"":18236.0,""cash"":-751841.0,""position"":77,""slope_per_step"":1.954919907085199,""r_squared"":0.9981471940134417}}"
