session_id,total_pnl,emerald_pnl,tomato_pnl,emerald_position,tomato_position,emerald_cash,tomato_cash,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2,product_stats_json
59,98464.59999999998,0.0,0.0,0,0,0.0,0.0,9.930634779663958,0.9999671564289625,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":81771.59999999998,""cash"":-954221.0,""position"":74,""slope_per_step"":8.252078091948391,""r_squared"":0.9999893346111475},""ASH_COATED_OSMIUM"":{""pnl"":16693.0,""cash"":-703379.0,""position"":72,""slope_per_step"":1.6785566877155669,""r_squared"":0.9989381472554314}}"
60,100817.09999999998,0.0,0.0,0,0,0.0,0.0,10.204960022469391,0.9998110211984838,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":18592.0,""cash"":-31413.0,""position"":5,""slope_per_step"":1.9322699187986991,""r_squared"":0.997424927732106},""INTARIAN_PEPPER_ROOT"":{""pnl"":82225.09999999998,""cash"":-865767.0,""position"":79,""slope_per_step"":8.272690103670696,""r_squared"":0.9999631997132571}}"
61,97262.19999999995,0.0,0.0,0,0,0.0,0.0,9.740825404774858,0.9997377895261068,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82414.19999999995,""cash"":-931578.0,""position"":78,""slope_per_step"":8.315328489023889,""r_squared"":0.9999596083933099},""ASH_COATED_OSMIUM"":{""pnl"":14848.0,""cash"":-785232.0,""position"":80,""slope_per_step"":1.4254969157509692,""r_squared"":0.9923097583879829}}"
62,100387.5,0.0,0.0,0,0,0.0,0.0,10.060638759019398,0.9999579703179847,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17657.0,""cash"":-652410.0,""position"":67,""slope_per_step"":1.7402363662703637,""r_squared"":0.9978703382388068},""INTARIAN_PEPPER_ROOT"":{""pnl"":82730.5,""cash"":-967262.0,""position"":75,""slope_per_step"":8.320402392749024,""r_squared"":0.9999544438974377}}"
63,101630.69999999995,0.0,0.0,0,0,0.0,0.0,10.224825609168446,0.9999670129541943,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":83330.69999999995,""cash"":-792662.0,""position"":73,""slope_per_step"":8.396278135268957,""r_squared"":0.99997896923586},""ASH_COATED_OSMIUM"":{""pnl"":18300.0,""cash"":-781780.0,""position"":80,""slope_per_step"":1.8285474738994747,""r_squared"":0.9992623235111161}}"
64,98324.0,0.0,0.0,0,0,0.0,0.0,9.782533278857548,0.9998143729619307,0.0,0.0,0.0,0.0,"{""INTARIAN_PEPPER_ROOT"":{""pnl"":82243.0,""cash"":-957749.0,""position"":80,""slope_per_step"":8.25410766500728,""r_squared"":0.9999772175243204},""ASH_COATED_OSMIUM"":{""pnl"":16081.0,""cash"":-393960.0,""position"":41,""slope_per_step"":1.528425613850256,""r_squared"":0.9949760914680909}}"
65,96682.0,0.0,0.0,0,0,0.0,0.0,9.745411341471314,0.9997828801537983,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16365.0,""cash"":-783715.0,""position"":80,""slope_per_step"":1.6358523706525236,""r_squared"":0.9929403338481123},""INTARIAN_PEPPER_ROOT"":{""pnl"":80317.0,""cash"":-1039675.0,""position"":80,""slope_per_step"":8.109558970818785,""r_squared"":0.9999943771809224}}"
66,100183.19999999995,0.0,0.0,0,0,0.0,0.0,9.994152545062915,0.9998723133272834,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17863.0,""cash"":687930.0,""position"":-67,""slope_per_step"":1.7095525770315259,""r_squared"":0.9943673706232076},""INTARIAN_PEPPER_ROOT"":{""pnl"":82320.19999999995,""cash"":-853672.0,""position"":78,""slope_per_step"":8.284599968031399,""r_squared"":0.9999892532951821}}"
67,99148.0,0.0,0.0,0,0,0.0,0.0,9.841984722609043,0.9997313100027,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":16152.0,""cash"":-723922.0,""position"":74,""slope_per_step"":1.4825625533576254,""r_squared"":0.9910505289669381},""INTARIAN_PEPPER_ROOT"":{""pnl"":82996.0,""cash"":-956996.0,""position"":80,""slope_per_step"":8.359422169251426,""r_squared"":0.9999817202960072}}"
68,100028.09999999986,0.0,0.0,0,0,0.0,0.0,9.986764612347041,0.9998790016132825,0.0,0.0,0.0,0.0,"{""ASH_COATED_OSMIUM"":{""pnl"":17285.0,""cash"":-612778.0,""position"":63,""slope_per_step"":1.6756257214662573,""r_squared"":0.9974438598915327},""INTARIAN_PEPPER_ROOT"":{""pnl"":82743.09999999986,""cash"":-1023249.0,""position"":79,""slope_per_step"":8.311138890880784,""r_squared"":0.9999692368121852}}"
